Discount title,Crate or bottles,Price,Discount period,Store,Extra info
Overige Grolsch,Set 6 flesjes a 0.3 liter,"4,55",ma 02-11 t/m zo 08-11 ,Albert Heijn,
Grolsch of Jupiler krat,24 flesjes a 0.3 liter of 0.25 liter*,"8,69",ma 02-11 t/m zo 08-11 ,Albert Heijn,BONUS
Overige Jupiler,Set 6 blikjes a 0.33 liter,"4,28",ma 02-11 t/m zo 08-11 ,Albert Heijn,
"Alle Heineken multipacks, fustje of tapvat","multipack 6-12 blikjes/flesjes a 250-500 ml,","0,00",ma 02-11 t/m zo 08-11 ,Coop,fustje 4000 ml of tapvat 5000 ml
Corona Mexican beer,multipack 6 flessen a 355 ml,"8,99",ma 02-11 t/m zo 08-11 ,Coop,liter 4.22
Grolsch pilsner,Blik 500 ml,"2,00",zo 01-11 t/m za 07-11 ,Dirk,"3 voor, Niet voor wederverkopers. Maximaal 48 blikken per klant."
Amstel bier,krat 24 flessen.,"8,89",zo 01-11 t/m za 07-11 ,Dirk,STUNTPRIJS
Grolsch Herfstbok of Bavaria Bokbier,pak 6 flessen,"4,86",zo 01-11 t/m za 07-11 ,EMTE,alle soorten
Heineken blik,6-pack x 33 cl,"3,99",zo 01-11 t/m za 07-11 ,EMTE,
Amstel bier,krat 24 x 30 cl,"9,49",zo 01-11 t/m za 07-11 ,EMTE,
Gulpener,pak 6 flesjes x 30 cl of krat 24 flesjes x 30 cl,"11,59",wo 04-11 t/m di 10-11 ,Jumbo,"Normale prijs 4,85-14,49"
Amstel Pils,Krat 24 flesjes x 30 cl,"8,99",zo 01-11 t/m za 07-11 ,Plus,
Amstel Bock,Set 6 flesjes x 30 cl,"3,99",zo 01-11 t/m za 07-11 ,Plus,
Benediktiner of Konig Ludwig,fles 50 cl,"1,00",do 05-11 t/m wo 11-11 ,Spar,"alle varianten, bijv. Benediktiner"
Amstel,krat 24 x 30 cl,"9,49",do 05-11 t/m wo 11-11 ,Spar,
Desperados,per pak,"4,31",do 05-11 t/m wo 11-11 ,Spar,"alle varianten, bijv. fles 3x 33 cl"
Amstel,krat 24 x 30 cl,"9,49",do 05-11 t/m wo 11-11 ,Attent,
Grolsch bier,krat 24 flesjes x 33 cl of 16 flesjes x 45 cl,"9,99",wo 04-11 t/m di 10-11 ,Boni,
Amstel 0.0%,6-pack x 30 cl of blik 33 cl,"2,00",zo 01-11 t/m za 07-11 ,Deen,
Alfa Edel pils,krat 24 flesjes x 30 cl,"9,00",zo 01-11 t/m za 07-11 ,Deen,
Amstel bier,Krat 24 x 30 cl,"8,89",zo 01-11 t/m za 07-11 ,Dekamarkt,"Maximaal 6 kratten per klant., Wij verkopen geen alcohol aan jongeren &lt; 18., +3 mespuntjes bij "
Amstel Radler,"6-Pack, blik 33 cl.","2,79",zo 01-11 t/m za 07-11 ,Dekamarkt,"Maximaal twaalf 6-packs per klant., Wij verkopen geen alcohol aan jongeren &lt; 18., +2 mespuntjes bij "
Grolsch Pilsner,Blik 500 ml,"2,00",zo 01-11 t/m za 07-11 ,Dekamarkt,"3 voor, Max. 48 blikken per klant., Wij verkopen geen alcohol aan jongeren &lt; 18."
N'Ice Chouffe,fles 33 cl,"1,20",wo 28-10 t/m di 24-11 ,Hoogvliet,samen met 4 biertjes naar keuze
Grimbergen Winter,fles 33 cl,"0,74",wo 28-10 t/m di 24-11 ,Hoogvliet,samen met 4 biertjes naar keuze
Leffe Royale Whitbread Golding,fles 33 cl,"1,06",wo 28-10 t/m di 24-11 ,Hoogvliet,samen met 4 biertjes naar keuze
